List Sr.No.,Set No.,2025 Set,Name,Country,Age,Specialism,,,2024 Team,2024 IPL,C/U/A,Reserve Price Rs Lakh
180,26,FA3,Umran Malik,India,25,BOWLER,RHB,RIGHT ARM Fast,SRH,1,Capped,75
181,26,FA3,Mustafizur Rahman,Bangladesh,29,BOWLER,LHB,LEFT ARM Fast,CSK,9,Capped,200
182,26,FA3,Ishant Sharma,India,36,BOWLER,RHB,RIGHT ARM Fast,DC,9,Capped,75
183,26,FA3,Nuwan Thushara,Sri Lanka,30,BOWLER,RHB,RIGHT ARM Fast,MI,7,Capped,75
184,26,FA3,Naveen Ul Haq,Afghanistan,25,BOWLER,RHB,RIGHT ARM Medium,LSG,10,Capped,200
185,26,FA3,Jaydev Unadkat,India,33,BOWLER,RHB,LEFT ARM Fast Medium,SRH,11,Capped,100
186,26,FA3,Umesh Yadav,India,37,BOWLER,RHB,RIGHT ARM Fast Medium,GT,7,Capped,200
187,27,SP3,Rishad Hossain,Bangladesh,22,BOWLER,RHB,RIGHT ARM Leg Spin,,,Capped,75
188,27,SP3,Zahir Khan Pakten,Afghanistan,26,BOWLER,LHB,LEFT ARM Slow Unorthodox,,,Capped,75
189,27,SP3,Nqabayomzi Peter,South Africa,23,BOWLER,RHB,RIGHT ARM Leg Spin,,,Capped,75
190,27,SP3,Tanveer Sangha,Australia,23,BOWLER,RHB,RIGHT ARM Leg Spin,,,Capped,75
191,27,SP3,Tabraiz Shamsi,South Africa,35,BOWLER,RHB,LEFT ARM Slow Unorthodox,,,Capped,200
192,27,SP3,Jeffery Vandersay,Sri Lanka,35,BOWLER,RHB,RIGHT ARM Leg Spin,,,Capped,75
193,28,UBA3,Sachin Baby,India,36,BATTER,LHB,RIGHT ARM Off Spin,,,Uncapped,30
194,28,UBA3,Priyam Garg,India,24,BATTER,RHB,,,,Uncapped,30
